
algorithm,	n,	result,	num_runs,	Overall,	Color rest,	Color CSDP
CSDP Color,	18,	1,	1,	0.567385,	0.00238721,	0.564952
CSDP Color,	24,	1,	1,	1.29977,	0.0037331,	1.29597
CSDP Color,	30,	1,	1,	6.29003,	0.00984799,	6.28004
CSDP Color,	36,	1,	1,	22.0794,	0.0173694,	22.0618
CSDP Color,	42,	1,	1,	79.3501,	0.0251723,	79.3244
CSDP Color,	48,	1,	1,	123.066,	0.0697238,	122.996
