
algorithm,	n,	result,	num_runs,	Overall,	Color rest,	Color CSDP
CSDP Color,	18,	1,	10,	0.264608,	0.231183,	0.0334225
CSDP Color,	24,	1,	10,	0.844071,	0.76274,	0.0813259
CSDP Color,	30,	1,	10,	1.76624,	1.59119,	0.175048
CSDP Color,	36,	1,	10,	4.8428,	4.40774,	0.435053
CSDP Color,	42,	1,	10,	24.5631,	21.9727,	2.5904
CSDP Color,	48,	1,	10,	36.956,	33.8375,	3.11843
