
algorithm,	n,	result,	num_runs,	Overall,	Color rest,	Color CSDP
CSDP Color,	15,	1,	5,	3.29286,	0.200879,	3.09195
CSDP Color,	16,	1,	5,	1.60266,	0.197075,	1.40557
CSDP Color,	17,	1,	5,	3.49008,	0.236531,	3.25353
CSDP Color,	18,	1,	5,	4.62051,	0.408662,	4.21182
CSDP Color,	19,	1,	5,	2.49388,	1.98923,	0.504631
