
algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	NC 1,	NC 2,	NC 3,	Test NC Rest,	Test NC Shortest Paths
Cuda Perfect,	21,	1,	1,	0.556266,	0.00787727,	0.129247,	0.000250696,	0.241994,	0.0796915,	0.0941385
Cuda Perfect,	22,	1,	1,	0.652509,	0.00993203,	0.158259,	0.000377593,	0.265108,	0.0949283,	0.120583
Cuda Perfect,	23,	1,	1,	0.723556,	0.011737,	0.189528,	0.000323196,	0.278244,	0.108144,	0.132143
Cuda Perfect,	24,	1,	1,	0.874015,	0.0148908,	0.235656,	0.000352193,	0.326388,	0.137541,	0.155106
Cuda Perfect,	25,	1,	1,	1.00947,	0.0174933,	0.278215,	0.000388594,	0.366633,	0.16269,	0.179452
Cuda Perfect,	26,	1,	1,	1.16172,	0.0196012,	0.331957,	0.000431393,	0.409373,	0.192542,	0.202866
Cuda Perfect,	27,	1,	1,	1.34068,	0.0247809,	0.390661,	0.000451792,	0.444953,	0.220249,	0.25286
Cuda Perfect,	28,	1,	1,	1.56637,	0.0274334,	0.462577,	0.000514692,	0.509809,	0.265474,	0.294095
Cuda Perfect,	29,	1,	1,	1.7821,	0.0322212,	0.531634,	0.00056689,	0.558538,	0.316013,	0.336387
Cuda Perfect,	30,	1,	1,	2.11121,	0.0377376,	0.627145,	0.000663789,	0.631194,	0.379313,	0.42759
Cuda Perfect,	31,	1,	1,	2.54994,	0.0433002,	0.791948,	0.000658489,	0.72347,	0.483965,	0.495519
Cuda Perfect,	32,	1,	1,	3.0158,	0.0530095,	0.917538,	0.000723687,	0.822932,	0.584942,	0.623997
Cuda Perfect,	33,	1,	1,	3.32804,	0.058026,	1.0359,	0.000779587,	0.887442,	0.654531,	0.677997
Cuda Perfect,	34,	1,	1,	3.80785,	0.0764618,	1.17695,	0.000846886,	0.977079,	0.751598,	0.812869
Cuda Perfect,	35,	1,	1,	4.19444,	0.0715056,	1.33577,	0.000937085,	1.05163,	0.838899,	0.88211
Cuda Perfect,	36,	1,	1,	4.66852,	0.0790713,	1.51685,	0.00117888,	1.10623,	0.942308,	1.00908
Cuda Perfect,	37,	1,	1,	5.11398,	0.0875492,	1.70795,	0.00107498,	1.1682,	1.01766,	1.11722
Cuda Perfect,	38,	1,	1,	5.57598,	0.10105,	1.91114,	0.00114638,	1.2096,	1.10733,	1.23011
Cuda Perfect,	39,	1,	1,	5.99946,	0.109831,	2.12083,	0.00122198,	1.23762,	1.17846,	1.33587
Cuda Perfect,	40,	1,	1,	6.71378,	0.123046,	2.38466,	0.00131358,	1.34493,	1.32519,	1.51483
Cuda Perfect,	41,	1,	1,	7.39396,	0.136397,	2.63534,	0.00139868,	1.42153,	1.46921,	1.71203
Cuda Perfect,	42,	1,	1,	8.12719,	0.15304,	2.9047,	0.00183757,	1.51587,	1.62041,	1.90901
Cuda Perfect,	43,	1,	1,	8.9435,	0.167053,	3.24121,	0.00161917,	1.61565,	1.76605,	2.13104
Cuda Perfect,	44,	1,	1,	10.0481,	0.182486,	3.74731,	0.00196287,	1.72778,	1.99055,	2.37202
Cuda Perfect,	45,	1,	1,	11.0096,	0.200348,	4.10991,	0.00181267,	1.83374,	2.16407,	2.67168
Cuda Perfect,	46,	1,	1,	12.1888,	0.222073,	4.52611,	0.00196987,	1.98496,	2.4043,	3.02329
Cuda Perfect,	47,	1,	1,	13.4644,	0.246294,	4.92853,	0.00210536,	2.12651,	2.67586,	3.45184
Cuda Perfect,	48,	1,	1,	14.5,	0.279126,	5.36962,	0.00223516,	2.30803,	2.9751,	3.53565
Cuda Perfect,	49,	1,	1,	16.3929,	0.297156,	6.03208,	0.00243196,	2.46081,	3.24603,	4.32126
Cuda Perfect,	50,	1,	1,	17.5801,	0.322572,	6.39423,	0.00252446,	2.56168,	3.50369,	4.7612

algorithm,	n,	result,	num_runs,	Overall
Naive,	16,	1,	1,	0.00112368
Naive,	17,	1,	1,	0.00199617
Naive,	18,	1,	1,	0.00171257
Naive,	19,	1,	1,	0.00202997
Naive,	20,	1,	1,	0.00362544
Naive,	21,	1,	1,	0.00374504
Naive,	22,	1,	1,	0.00450402
Naive,	23,	1,	1,	0.00717018
Naive,	24,	1,	1,	0.0111251
Naive,	25,	1,	1,	0.0127817
Naive,	26,	1,	1,	0.0171631
Naive,	27,	1,	1,	0.0233232
Naive,	28,	1,	1,	0.0311549
Naive,	29,	1,	1,	0.0427241
Naive,	30,	1,	1,	0.0737595
Naive,	31,	1,	1,	0.0978258
Naive,	32,	1,	1,	0.140272
Naive,	33,	1,	1,	0.138504
Naive,	34,	1,	1,	0.168182
Naive,	35,	1,	1,	0.172318
Naive,	36,	1,	1,	0.253813
Naive,	37,	1,	1,	0.33008
Naive,	38,	1,	1,	0.483776
Naive,	39,	1,	1,	0.76797
Naive,	40,	1,	1,	1.08143
Naive,	41,	1,	1,	1.30079
Naive,	42,	1,	1,	1.92538
Naive,	43,	1,	1,	3.04075
Naive,	44,	1,	1,	4.70226
Naive,	45,	1,	1,	6.73712
Naive,	46,	1,	1,	8.46646
Naive,	47,	1,	1,	13.2107
Naive,	48,	1,	1,	22.3798
Naive,	49,	1,	1,	23.7031
Naive,	50,	1,	1,	27.7759
