
algorithm,	n,	result,	num_runs,	Overall,	Color rest,	Color CSDP
CSDP Color,	20,	1,	1,	0.637545,	0.00269186,	0.634816
CSDP Color,	25,	1,	1,	1.12666,	0.00334699,	1.12327
CSDP Color,	30,	1,	1,	3.21719,	0.00618489,	3.21093
CSDP Color,	35,	1,	1,	10.5857,	0.0119651,	10.5736
CSDP Color,	40,	1,	1,	29.5161,	0.024143,	29.4916
CSDP Color,	45,	1,	1,	68.6522,	0.0653983,	68.5865
