
algorithm,	n,	result,	num_runs,	Overall,	Color rest,	Color CSDP
CSDP Color,	24,	1,	10,	0.562652,	0.495486,	0.0671609
CSDP Color,	30,	1,	10,	1.51143,	1.36183,	0.149599
CSDP Color,	36,	1,	10,	4.34412,	3.96533,	0.378776
CSDP Color,	42,	1,	10,	10.8069,	9.74238,	1.06453
CSDP Color,	48,	1,	10,	36.3395,	33.6673,	2.67221
CSDP Color,	54,	1,	10,	88.4683,	81.1955,	7.27273
CSDP Color,	60,	1,	10,	209.76,	195.095,	14.6648
