
algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	Test NC Rest,	Test NC Shortest Paths
Perfect,	20,	1,	10,	1.38902,	0.00706505,	0.121766,	1.14173,	0.11736
Perfect,	22,	1,	10,	3.32802,	0.0124401,	0.205378,	2.86967,	0.238803
Perfect,	24,	1,	10,	5.94385,	0.0179905,	0.307153,	5.22913,	0.386741
Perfect,	26,	1,	10,	10.2299,	0.0284232,	0.445988,	9.1599,	0.591828
Perfect,	28,	1,	10,	16.429,	0.041915,	0.647857,	14.8783,	0.855745
Perfect,	30,	1,	10,	26.7825,	0.0622787,	0.907561,	24.52,	1.28667
Perfect,	32,	1,	10,	46.7402,	0.0883707,	1.34328,	43.1108,	2.17582
Perfect,	34,	1,	10,	68.9338,	0.123854,	1.79863,	64.0192,	2.96331
Perfect,	36,	1,	10,	90.8,	0.174684,	2.36021,	84.6251,	3.60769
Perfect,	38,	1,	10,	145.971,	0.238572,	3.16476,	137.167,	5.35759
Perfect,	40,	1,	10,	195.952,	0.320204,	4.01212,	184.802,	6.76202

algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	GPU Test NC Copy,	Test NC Shortest Paths,	GPU Test NC work
Cuda Perfect,	20,	1,	10,	0.776754,	0.00848846,	0.124438,	0.37545,	0.120119,	0.143997
Cuda Perfect,	22,	1,	10,	1.3407,	0.0131593,	0.206526,	0.612062,	0.244438,	0.257958
Cuda Perfect,	24,	1,	10,	1.99047,	0.0186169,	0.310111,	0.849151,	0.398209,	0.40493
Cuda Perfect,	26,	1,	10,	2.77226,	0.0284558,	0.45161,	1.10022,	0.600896,	0.579181
Cuda Perfect,	28,	1,	10,	3.84191,	0.0414246,	0.652542,	1.37539,	0.869208,	0.816302
Cuda Perfect,	30,	1,	10,	5.31297,	0.0619874,	0.918435,	1.77182,	1.30869,	1.23324
Cuda Perfect,	32,	1,	10,	7.97599,	0.0873426,	1.36684,	2.43762,	2.19381,	1.86176
Cuda Perfect,	34,	1,	10,	10.5669,	0.121777,	1.82986,	2.94245,	2.97613,	2.66182
Cuda Perfect,	36,	1,	10,	12.9228,	0.176661,	2.39256,	3.25361,	3.62699,	3.43268
Cuda Perfect,	38,	1,	10,	18.1785,	0.236577,	3.20747,	4.20357,	5.36322,	5.11771
Cuda Perfect,	40,	1,	10,	22.9529,	0.323576,	4.06234,	4.89313,	6.7717,	6.84394

algorithm,	n,	result,	num_runs,	Overall
Naive,	20,	1,	10,	0.00232294
Naive,	22,	1,	10,	0.00425159
Naive,	24,	1,	10,	0.00685995
Naive,	26,	1,	10,	0.0121526
Naive,	28,	1,	10,	0.0191166
Naive,	30,	1,	10,	0.0320102
Naive,	32,	1,	10,	0.0531564
Naive,	34,	1,	10,	0.0790491
Naive,	36,	1,	10,	0.13091
Naive,	38,	1,	10,	0.196094
Naive,	40,	1,	10,	0.315848

algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	GPU Test NC Copy,	Test NC Shortest Paths,	GPU Test NC work
Cuda Perfect,	42,	1,	10,	30.0143,	0.434455,	5.14587,	5.95273,	8.89561,	9.4973
Cuda Perfect,	44,	1,	10,	39.6024,	0.56902,	6.72655,	7.26117,	12.1209,	12.8088
Cuda Perfect,	46,	1,	10,	46.9,	0.748489,	8.2147,	7.85002,	13.9893,	15.973
Cuda Perfect,	48,	1,	10,	57.5644,	0.967694,	10.1708,	9.30591,	17.9652,	19.007
Cuda Perfect,	50,	1,	10,	79.2373,	1.2356,	12.5184,	11.5892,	23.998,	29.6451
Cuda Perfect,	52,	1,	10,	99.251,	1.58547,	15.309,	13.3667,	30.3087,	38.4675
Cuda Perfect,	54,	1,	10,	126.78,	1.96474,	18.5631,	16.1097,	38.5749,	51.3121
Cuda Perfect,	56,	1,	10,	157.448,	2.5298,	22.6105,	18.8394,	49.9023,	63.2638
Cuda Perfect,	58,	1,	10,	193.984,	3.12048,	26.7021,	21.2416,	58.7737,	83.8073

algorithm,	n,	result,	num_runs,	Overall
Naive,	42,	1,	10,	0.497607
Naive,	44,	1,	10,	0.688391
Naive,	46,	1,	10,	1.19943
Naive,	48,	1,	10,	1.82989
Naive,	50,	1,	10,	2.59484
Naive,	52,	1,	10,	3.83791
Naive,	54,	1,	10,	5.60266
Naive,	56,	1,	10,	7.42845
Naive,	58,	1,	10,	12.2074
