algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	Test NC Shortest Paths,	Test NC Rest,	GPU Test NC Copy R,	GPU Test NC work
Cuda Perfect,	15,	1,	5,	0.47278,	0.0366021,	0.152921,	0.074241,	 - ,	0.0887637,	0.119108
Cuda Perfect,	16,	1,	2,	0.815005,	0.0518187,	0.215122,	0.108679,	 - ,	0.103024,	0.148876
Cuda Perfect,	17,	1,	3,	1.07677,	0.0728188,	0.30663,	0.219768,	 - ,	0.193547,	0.281997
Cuda Perfect,	18,	1,	5,	1.40123,	0.10222,	0.43163,	0.288579,	 - ,	0.227039,	0.349352
Cuda Perfect,	19,	1,	6,	1.68919,	0.140982,	0.551472,	0.350281,	 - ,	0.245637,	0.398373
Cuda Perfect,	20,	1,	6,	2.40695,	0.184103,	0.730177,	0.553734,	 - ,	0.343888,	0.592079
Cuda Perfect,	21,	1,	2,	2.94073,	0.244496,	0.928218,	0.682392,	 - ,	0.376849,	0.705447
Cuda Perfect,	22,	1,	2,	3.90451,	0.320324,	1.23279,	0.937666,	 - ,	0.476303,	0.932926
Cuda Perfect,	23,	1,	3,	5.44378,	0.402468,	1.64966,	1.40563,	 - ,	0.63167,	1.34875
Cuda Perfect,	24,	1,	1,	6.93753,	0.518411,	1.98538,	1.84715,	 - ,	0.80791,	1.77032
Cuda Perfect,	25,	1,	2,	9.23722,	0.633243,	2.48547,	2.65795,	 - ,	0.98827,	2.46324
Cuda Perfect,	26,	1,	1,	10.7937,	0.829422,	3.06666,	3.05883,	 - ,	1.04468,	2.78555
Cuda Perfect,	27,	1,	4,	13.4708,	1.02531,	3.80435,	3.86106,	 - ,	1.22089,	3.5497
Cuda Perfect,	28,	1,	1,	17.7809,	1.25454,	4.66757,	5.32898,	 - ,	1.59454,	4.92266
Cuda Perfect,	29,	1,	2,	22.115,	1.54086,	5.57253,	6.79865,	 - ,	1.88937,	6.29629
Cuda Perfect,	30,	1,	3,	26.7084,	1.87595,	6.7746,	8.28498,	 - ,	2.0943,	7.66198
Cuda Perfect,	31,	1,	1,	30.8716,	2.40303,	8.51333,	9.25258,	 - ,	2.15953,	8.5197
Cuda Perfect,	32,	1,	1,	43.183,	2.78763,	9.83343,	14.5956,	 - ,	2.85535,	13.0787
Cuda Perfect,	33,	1,	2,	53.1479,	3.32455,	11.5017,	17.6818,	 - ,	3.60574,	16.9952
Cuda Perfect,	35,	1,	1,	75.289,	4.69479,	15.8572,	25.078,	 - ,	4.46756,	25.1489
Cuda Perfect,	36,	1,	1,	83.4778,	5.44545,	17.9388,	27.075,	 - ,	4.68724,	28.2788
